Count Station,Street Name,From,To,Latitude,Longitude,Data
1389,17th St.,Arctic Ave.,Pacific Ave.,36.844931,-75.976703,5438
372,19th,Parks Ave.,Baltic Ave.,36.846322,-75.980496,2157
818,21st St.,Baltic Ave.,Arctic Ave.,36.84851319,-75.97942829,12614
1500,21st St.,Parks Ave.,Cypress Ave,36.847518,-75.985275,11349
819,22nd St.,Arctic Ave.,Baltic Ave.,36.84951768,-75.97958922,10895
1501,22nd St.,Cypress Ave,Parks Ave.,36.848619,-75.984736,14435
133,24th St.,Barberton Dr.,Parks Ave.,36.850286,-75.986861,3217
1336,25th St,Pacific Ave.,Arctic Ave.,36.853104,-75.978739,2603
349,Arctic Ave.,19th St.,21st St.,36.84786928,-75.97819448,4190
708,Atlantic Ave.,17th St.,Laskin Rd.,36.84602336,-75.97445011,7205
1430,Baltic Ave.,19th St.,Virginia Beach Blvd.,36.845895,-75.979585,3132
1483,Cypress Ave,17th St.,19th St.,36.844312,-75.983107,4762
1079,Cypress Ave,19th St.,21st St.,36.84622942,-75.98356962,4195
1429,Mediterranean Ave.,19th St.,Virginia Beach Blvd.,36.845708,-75.981517,4312
1175,Mediterranean Ave.,20th St.,21st St.,36.847577,-75.98206,3874
777,Pacific Ave.,17th St.,24th St.,36.84771474,-75.97622037,18722
820,Pacific Ave.,22nd St.,25th St,36.852106,-75.97737,14244
